id,municipio,name,date,periodicity,group,modality,size,fundings,entity,entityType,description
11,Caicedonia,Concurso de Intérpretes Solistas del Bolero “Alberto Villa Vélez”,Noviembre,Anual,Artístico-Cultural,Música-Bolero,2000,Público-Privado,Alcaldía y comité,Pública,Por medio de este evento Caicedonia hace un homenaje al bolero a sus seguidores las orquestas los grandes intérpretes autores y compositores a través de un concurso que inició hace cinco años como un experimento para detectar la aceptación del público. Este evento busca resaltar el Bolero como eje central de la música romántica y se realiza anualmente el primer fin de semana del mes de noviembre en las instalaciones del Teatro “Dionisio Rodríguez Valderrama” del Colegio Bolivariano ubicado en la calle 5 con carrera 13.
12,Caicedonia,Fiestas Aniversarias de Caicedonia,01-05 Septiembre,Anual,Patriótico-Civíco,Diversa,3000,Público-Privado,Alcaldía y comité,Pública,El corregimiento de Cuba que en ese momento formaba parte del distrito de Zarza fue renombrado como Caicedonia y fue oficialmente fundado como municipio del Valle del Cauca el 3 de agosto de 1910. A través de la Ordenanza No. 21 del 20 de abril de 1923 se concede vida jurídica y administrativa al municipio de Caicedonia la cual inicia el 1 de septiembre de 1923. En la actualidad se lleva a cabo una celebración entre el 1 y 5 de septiembre de cada año cuentan con un sin número de eventos como conciertos reinado y actividades artistas y culturales.l
13,Calima Darien,Fiestas y reinado del Verano.,Agoso,Anual,Artístico-Cultural,Diversa,3000,Público-Privado,Alcaldía,Pública,Las Fiestas y Reinado del Verano de Calima El Darién constituyen el evento cultural artístico deportivo recreativo y turístico más importante de cada anualidad en el Municipio y se realiza en el segundo puente del mes de agosto. Su variada programación abarca todo tipo de públicos y tiene como propósito principal preservar y dinamizar las expresiones culturales y tradiciones de la localidad así como fortalecer la economía local a través de la oferta turística del territorio y las actividades contempladas en su programación.
14,Candelaria,Fiestas patronales de Nuestra Señora de la Candelaria,02 de Febrero,Anual,Religioso-Patronal,Diversa,3000,Público-Privado,Alcaldía,Pública,La Virgen de la Candelaria o Nuestra Señora de Candelaria es una advocación mariana de la religión católica que tiene su origen en Tenerife (España). Su etimología deriva de candelero o candela que se refiere a la luz: la luz santa que guía hacia el buen camino y la redención y aviva la fe en Dios. Su festividad es celebrada según el calendario litúrgico el 2 de febrero donde se recuerda la presentación de Jesús en el templo de Jerusalén después de su nacimiento y la purificación de María. En el municipio que lleva su nombre Candelaria se conmemora esta fecha con la participación masiva de los Candelarenses por medio de comparsas desfiles eventos musicales y dancísticos. 
15,Cartago,Expobordados,Noviembre,Anual,Artístico-Cultural,Bordados,3000,Público-Privado,Alcaldía,Pública,Este evento se convierte en una plataforma para el fortalecimiento de la técnica tradicional de bordados y calados en el municipio de Cartago se convocan diseñadores artesanos y modelos de la región promoviendo el desarrollo de acciones que salvaguarden la tradición que ha sido transferida de generación en generación. Expobordados se realizará durante el mes de noviembre con el apoyo de la Cámara de comercio y entidades gubernamentales
16,Dagua,Encuentro de Música Andina del Queremal,10 -12 de Octubre,Anual,Artístico-Cultural,Música Andina,4000,Público-Privado,Junta Directiva,Privada,Este es un espacio de fiesta en el que abundan las manifestaciones musicales de la región andina la connotación internacional de este festival le da un grado de importancia y valoración de la comunidad
17,El Cairo,Fiesta de los Cachacos,28 de Diciembre,Anual,Carnaval y fiesta popular,Música Popular,1200,Público-Privado,Alcaldía,Pública,Desde hace 26 años es tradicional realizar la fiesta de los cachacos la cual consiste en ponerse traje cachaco elegante sombrero y corbata tanto hombres como mujeres y hacer un desfile montados algunos caballos de paso fino y otros de caballos criollos los que por lo general son utilizados para los trabajos de las finca comparten los amigos se toman aguadiente y toda la comunidad se comparte lechona o ternera a la llanera y en la noche orquesta con vervena popular para todo el pueblo.
18,El Cairo,Festival de la Cultura por la Paz,16 de marzo,Anual,Artístico-Cultural,Diversa,2000,Público-Privado,Alcaldía,Pública,El Festival de Cultura por la Paz es un evento totalmente artístico cultural donde resalta los valores artísticos de la población son nuestros niños jovenes y personas adultas en donde encontramos recital de poesia galas de danza tradicional y folklorica grupo de música andina música colombiana y desfiles de carrozas creativas exposiciones de pintura escultura fotografia converatorios de paz todo por que la cultura genera paz por lo general son 3 días en los cuales todo gira a la cultura artística de Colombia tenemos paises invitados como Peru Ecuador Chile y otros y tambien grupo de danza música andina cercano a nuestro territorio
29,La Victoria,Fiestas patronales del corregimiento de San José,15-18 Marzo,Anual,Religioso-Patronal,Diversa,1000,Público-Privado,Alcaldía y comité,Pública,Fiesta patronal sector rural
30,La Victoria,Fiestas de San Isidro,01 de julio,Anual,Religioso-Patronal,Música-Danzas,1000,Público-Privado,Alcaldía,Pública,Fiesta patronal 
19,El Cerrito,Festival Isaacsiano,Junio,Anual,Artístico-Cultural,Diversa,3000,Público-Privado,Fundación Centro Cultural Universitas-Casa de la Cultura,Privada,Este festival se lleva a cabo todos los años en el mes de junio y es organizado por la Fundación Centro Cultural Universitas-Casa de la Cultura del municipio de El Cerrito busca exaltar el nombre de Jorge Isaac no solamente como hombre político aventurero y explorador sino al escritor y folclorista que dejó un valioso legado cultural al escribir su novela “María” además de servir como ventana para promocionar el municipio como un destino turístico en el marco de esta festividad se realizan exposiciones conversatorios y el concurso nacional de la Carta Romántica.
20,El Dovio,Fiestas del campesino,Septiembre,Anual,Carnaval y fiesta popular,Diversa,1200,Público-Privado,Alcaldía,Pública,Estas festividades van en su versión 52 se realizan durante el mes de septiembre son un espacio artístico y cultural que tiene epicentro en la vereda la Virginia y que involucra toda una serie de presentaciones relacionadas con el agradecimiento a la naturaleza por las cosechas y frutos recolectados en el municipio.
21,Florida,Festival de Blancos y Negros San Antonio de los Caballeros,11-12 Enero,Anual,Carnaval y fiesta popular,Diversa,2000,Público-Privado,COMITÉ DE EVENTOS COMUNITARIOS DE SAN ANTONIO DE LOS CABALLEROS,Privada,La celebración del Carnaval oficial de negros y blancos se realiza en el mes de enero desde hace más de 20 años en el corregimiento de San Antonio de los Caballeros del municipio de Florida-Valle. Carnaval en el cual se integran las diferentes colonias que habitan esta localidad con el fin de dar a conocer sus diferentes costumbres tradiciones talentos y folclor
22,Florida,Festival Cultural Pachamama,10 de Noviembre,Anual,Artístico-Cultural,Música-Danzas,2000,Público-Privado,Pachamamama Fundación Cultural,Privada,Festival que promueve el encuentro de musicas y danzas tradicionales andinas.
23,Florida,II ENCUENTRO DE LA EXPRESIÓN ARTÍSTICA CULTURAL Y GASTRONÓMICA DE LA CULTURA AFROFLORIDANA,21 de Mayo,Anual,Artístico-Cultural,Diversa,2500,Público-Privado,Mesa Afrodescendiente,Privada,"""El """"FESTIVAL DE MÚSICA NUESTRA TIERRA”se lleva a cabo en el parque principal del Municipio de Florida Valle del Cauca;asisten aproximadamente 6.000 personas; de todos los géneros; condiciones étnicas y sociales; que disfrutan sin costo alguno de sana recreación y esparcimiento comunitario. Su transcendencia y connotación lo está posicionando como uno de los eventos importantes en el Municipio; en la cual se construye identidad; se promueve la cultura; se dinamiza la economía regional y se reactiva el comercio formal e informal. """
24,Florida,Festival de Música Nustra Tierra,23-24 de Junio,Anual,Artístico-Cultural,Música,6000,Público-Privado,Academia de Música Arte Vida,Privada,"El ""FESTIVAL DE MÚSICA NUESTRA TIERRA”se lleva a cabo en el parque principal del Municipio de Florida Valle del Cauca;asisten aproximadamente 6.000 personas; de todos los géneros; condiciones étnicas y sociales; que disfrutan sin costo alguno de sana recreación y esparcimiento comunitario. Su transcendencia y connotación lo está posicionando como uno de los eventos importantes en el Municipio; en la cual se construye identidad; se promueve la cultura; se dinamiza la economía regional y se reactiva el comercio formal e informal. "
25,Jamundi,Encuentro intercolegiao de Canto,Octubre,Anual,Artístico-Cultural,Música,1000,Público,Alcaldía,Pública,Encuentro artistico urbano y rural en el que partipan las instituciones educativas.
26,La Cumbre,Las Fiestas del Verano,Agosto,Anual,Carnaval y fiesta popular,Diversa,5000,Público-Privado,Alcaldía,Pública,La festividad más representativa del municipio de la Cumbre es conocida como: “Las fiestas y ferias del verano”. Festividad que cronológicamente se ubica en el número 46 financiada por la alcaldía y apoyada por un grupo del municipio conocido como Corfecumbre. Durante la fiesta se realizan actividades musicales corralejas feria de los niños encuentros culturales en danzas y música. Durante la festividad asisten más de 5000 personas principalmente de Cali y Yumbo promoviéndose así el turismo.
27,La Unión,Semana Santa Cultural,Abril,Anual,Religioso-Patronal,Diversa,2000,Público,Alcaldía,Pública,LA SEMANA SANTA CULTURAL ES UN PROYECTO QUE INICIÓN EN EL AÑO 2016 LA COORDINACIÓN DE CULTURA CON EL FIN DE DAR A CONOCER LOS PROCESOS CULTURALES QUE SE VIENEN DESARROLLANDO DENTRO DE LA CASA DE LA CULTURA COMO SON ARTES PLÁSTICAS MÚSICA DANZA QUE EN COMÚN ACUERDO SE VIENE REALIZANDO CON LAS IGLESIAS DEL MUNICPIO Y LA COMUNIDAD EN GENERAL ESTE PROYECTO SE HACE EN CONJUNTO CON LA COORDINACIÓN DE TURISMO QUIEN REALIZA UNA MUESTRA AGROINDUSTRIAL Y ARTESANAL PARA MOSTRAR A PROPIOS Y TURISTAS TODOS LOS PRODUCTOS AUTOCTONOS DE NUESTRO MUNICPIO COMO LO SON LOS MECATOS VINOS ARTESANALES E INDUSTRIALES Y TODA LA GASTRONOMIA QUE SE VIVE A TRAVÉS DE NUESTRAS FRUTAS TROPICALES .
28,La Victoria,Fiestas aniversarias de La Victoria,15-20 Agosto,Anual,Patriótico-Civíco,Diversa,2000,Público-Privado,Alcaldía,Pública,Anualmente se celebran Las fiestas del retorno celebración que conmemora el aniversario de fundación del municipio tradicionalmente festejado en el puente festivo del mes de agosto. Al igual que muchas poblaciones colombianas las fiestas anuales son una ocasión para traer artistas nacionales e internacionales y para que los antiguos habitantes que se han trasladado a las grandes ciudades regresen a la población. Son tradicionales las casetas en el parque y la exhibición de lanchas sobre el Río Cauca.
31,La Victoria,Fiestas patronales del Corregimiento de San Pedro.,08-11 de Junio,Anual,Religioso-Patronal,Diversa,1000,Público-Privado,Alcaldía,Pública,Fiesta patronal sector rural
32,Palmira,Fiesta Nacional de la Agricultura,Agosto,Anual,Carnaval y fiesta popular,Diversa,20000,Público-Privado,Alcaldía y junta proferias,Pública,Durante 2018 se celebró la 43ª Fiesta Nacional de la Agricultura durante el mes de agosto con la presentación de artistas locales nacionales e internacionales desfiles reinados cabalgata exposición equina y muestra internacional. Tradicionalmente se lleva a cabo en el Coliseo de Ferias y Exposiciones Álvaro Domínguez 
33,Pradera,Feria del Dulce,Octubre,Anual,Carnaval y fiesta popular,Diversa,5000,Público-Privado,Alcaldía,Pública,Festividad que se realiza anualmente en el mes de octubre en el marco de esta celebración se llevan a cabo desfiles presentaciones artísticas verbenas populares exhibición de harlistas reinado popular presentación musical de car audio casetas de bailes exhibición de maquinaria agrícola artesanías juegos pirotécnicos y una muestra gastronómica en la calle del dulce.
34,Riofrío,Festival internacional de danzas tradicionales,28 de Julio,Anual,Artístico-Cultural,Diversa,2000,Público-Privado,Fundación Artisitica Folclor del Río,Privada,Encuentro de danzas tradicionales que cuenta con invitados nacionales e internacionales.
35,Roldanillo,Aniversario de Roldanillo,20 de Enero,Anual,Patriótico-Civíco,Diversa,5000,Público-Privado,Alcaldía,Pública,Esta celebración es una trilogía de fiestas por el cumpleaños del museo Rayo y Natalicio del maestro Rayo. Durante la festividad se realizan actividades musicales dancísticas y un desfile cultural vinculando el sector privado y público en su conjunto.
36,San Pedro,Concurso de Música Inédita de Bandas Municipales,Junio,Anual,Artístico-Cultural,Música,3000,Público-Privado,Alcaldía,Pública,Es una festividad que se realiza anualmente en el mes de junio con el objeto de resaltar la labor de los compositores colombianos y rendir homenaje al maestro “Luis Mario Lopeda” compositor de obras inéditas. Este evento se lleva a cabo en el marco de la celebración de las Fiestas patronales de San Pedro y San Pablo.
37,Sevilla,Festival Bandola,17 de agosto,Anual,Artístico-Cultural,Música,10000,Público-Privado,Alcaldía y Casa de la Cultura,Privada,Es un Festival musical que se realiza en Sevilla Valle hace 23 años. El cartel está compuesto por artistas nacionales de diferentes regiones de Colombia e invitados internacionales. El festival es una experiencia única formadora de públicos una vitrina de tendencias donde se ofrece gran variedad de expresiones musicales del nuevo folclor y la música tradicional. El evento consta también de actividades alternativas como Concierto “Bandolitis” en el Teatro Alcázar Concierto “Cantorío de Mujeres” y Carnaval de Abrazos. La fiesta central se vive en la Plaza de la Concordia con un gran concierto al aire libre donde 35 agrupaciones musicales presentan sus propuestas.
38,Sevilla,ENCUENTRO DE CREADORES E INTÉRPRETES DE JAZZ - SEVIJAZZ,10 de Noviembre,Anual,Artístico-Cultural,Música,500,Público-Privado,Fundación Bandola,Privada,El Festival de Jazz SEVIJAZZ es un encuentro de músicos y escuelas de jazz colombianas. Hace parte de la Red de Festivales musicales del Valle del Cauca. En el 2018 se realizará su versión “15 AÑOS”. Se contará con un importante plan de difusión nacional. Su programación incluye: 8 conciertos en sala 3 conciertos en espacios no convencionales 3 jam session talleres gratuitos con énfasis en la interpretación del jazz (vientos piano guitarra bajo y percusión) conversatorios durante los tres días del festival y como novedad en la versión 2018 conciertos didácticos para público infantil.
39,Toro,Carnaval de la Alegría Uniendo Región,Agosto,Anual,Artístico-Cultural,Diversa,5000,Público-Privado,Alcaldía,Pública,Dicha festividad se realiza en el marco de las fiestas cívico patronales de Toro el día domingo se hace el carnaval funciona alrededor de la exposición de carrozas y espectáculos culturales. Este carnaval se convierte en el más representativo debido a la acogida que tiene por parte de los pobladores quienes se articulan cada año más y más a la organización e implementación del mismo.
40,Trujillo,Fiestas del Café,Noviembre,Anual,Carnaval y fiesta popular,Diversa,2000,Público-Privado,Alcaldía,Pública,La principal festividad que se realiza en Trujillo se conoce como “Las Fiestas Populares del Café” se celebra desde hace 32 años en el mes de noviembre y se convierte en la excusa propicia para tener un encuentro con la cultura y las artes la comunidad de forma masiva se hace presente y participa de la programación. En el marco de esta celebración se realizan actos culturales deportivos cabalgatas desfiles de reinas departamentales y verbenas populares con la presentación de artistas de orden regional y nacional además de fuegos pirotécnicos y muestras gastronómicas con platos típicos de la región del norte del Valle. 
41,Tuluá,Festival del Mate y el Guarapo,Octubre,Anual,Artístico-Cultural,Diversa,10000,Público-Privado,Alcaldía,Pública,Se trata de un evento folclórico tradicional . En el Festival se promociona y difunde la música latinoamericana y se promueven las costumbres típicas vallecaucanas. Se realiza durante el mes de octubre las manifestaciones artísticas más visibles son la muestra artesanal las danzas y la música tradicional con enfoque de fusión. Este Festival se ha ganado un espacio especial en la recordación nacional puesto que han participado una serie de grupos de carácter internacional y de trayectoria como Monsieur Perine Choquib Town Aterciopelados entre otros.
42,Ulloa,Fiestas de la Virgen del Carmén,16 de Julio,Anual,Religioso-Patronal,Diversa,1000,Público-Privado,Alcaldía,Pública,Cada 16 de julio los católicos le rinden tributo a la Señora del Carmen patrona de los conductores de los Bomberos y la reina de las Fuerzas Armadas de Colombia. Santa María en el Monte Carmelo referida como Virgen del Carmen o Nuestra Señora del Carmen recibe su nombre del monte Carmelo una cadena montañosa situada junto al mar en Tierra Santa (Israel). Allí el 16 de julio de 1251 se apareció la Virgen a San Simón Stock general de la orden Carmelita en respuesta a su humilde súplica que invocaba su protección para la Orden. Y el municipio de Alcalá ha adoptado la tradición de convocar a celebrar tan importante advocación para ello prepara toda una serie de cantos rezos desfiles y hasta conciertos alrededor de la imagen de la Virgen.
43,Versalles,Fiestas de la Neblina,Julio,Anual,Artístico-Cultural,Diversa,5000,Público-Privado,Alcaldía,Pública,Es un encuentro regional de músicos y cantores esta fiestas se celebran cada año en el mes de noviembre son un espacio artístico y cultural principalmente en donde se promueve la participación la identidad cultural de los habitantes del municipio. Las principales manifestaciones artísticas expuestas son la música y la danza popular tradicional y campesina.
44,Versalles,Encuentro regional de musicos y cantores.,Noviembre,Bianual,Artístico-Cultural,Diversa,3000,Público-Privado,Alcaldía,Pública,ENCUENTRO DE MUSICA FOLCLORICA COLOMBIANA INDEPENDIENTE DEL FORMATO INSTRUMENTAL LA PRESENTACION DE LOS ARTISTAS ES EN VIVO CON UNA ENCUENTRO DE ARTISTAS VERSALLENSES Y LA PARTICIPACION DE LOS REPRESENTANTES DE LAS ESCUELAS DE MUSICA Y CASA DE LA CULTURA DE LOS MUNICIPIOS DEL DEPARTAMENTO ADEMAS DE UNOS INVITADOS DE CARACTER NACIONAL Y REPRESENTANTES DE NUESTRA MUSICA COLOMBIANA. ESTE AÑO SE HACE LA DECIMA VERSIÓN REGIONAL Y LA DECIMO CUARTA MUNICIPAL.
45,Vijes,Ferias y fiestas aniversarias,26 de julio,Anual,Patriótico-Civíco,Diversa,10000,Público-Privado,Alcaldía,Pública,Por medio de esté encuentro artistico y cultural se conmemora el cumpleaños del municipio de Vijes.
46,Vijes,Fiestas Patronales de Nuestra Señora del Rosario,27 de septiembre,Anual,Religioso-Patronal,Diversa,6000,Público-Privado,Alcaldía,Pública,Por medio de esté encuentro artistico y cultural se conmemora el cumpleaños del municipio de Vijes.
47,Yotoco,Fiestas de San Pedro y San Pablo,Junio,Anual,Religioso-Patronal,Diversa,1000,Público-Privado,Alcaldía,Pública,La solemnidad conjunta de san Pedro y san Pablo es la conmemoración del martirio en Roma de los apóstoles Simón Pedro y Pablo de Tarso celebrada el 29 de junio. Es una de las mayores celebraciones religiosas para los cristianos católicos y ortodoxos. En el Municipio se realiza un desfile y se acompaña de música y danzas de la región.
48,Yumbo,Encuentro nacional de interpretes de música Colombiana.,Noviembre,Anual,Artístico-Cultural,Música,10000,Público-Privado,Instituto Municipal de Cultura y Alcaldía,Pública,Es un festival artístico musical en el que se rinde tributo a la música colombiana contemporánea y tradicional en él se cuenta con los mejores exponentes del país. Se realizan además talleres formativos y una exposición artesanal.
49,Zarzal,Festival de Danzas El Moño,Abril,Anual,Artístico-Cultural,Danza-Folclorica,3000,Público-Privado,Alcaldía,Pública,El Moño es un baile típico que lo bailaban los trabajadores de una hacienda llamada las Lajas en donde el hombre enamora a la mujer por medio de un cortejo dancístico.
50,Zarzal,Festival Internacional de Teatro,Septiembre,Anual,Artístico-Cultural,Teatro,2000,Público-Privado,Alcaldía,Pública,Este festival se realiza cada año por lo general en el mes de septiembre y durante los tres días que dura el evento la población se rodea de títeres teatro cuenteros y finaliza con un gran concierto musical. Es una festividad congrega a propios y visitantes en una fiesta multicolor en el parque central General Santander.
